Bill,Number_of_People,Arrived_in,Time_of_visit,Tips
16,1,bike,morning,0
23,2,bike,morning,0
13,1,bike,afternoon,0
56,2,car,morning,0
27,1,bike,morning,0
52,1,car,afternoon,8
7,1,bike,afternoon,0
22,2,bike,afternoon,0
15,2,bike,afternoon,0
27,1,bike,morning,0
27,1,bike,morning,0
17,1,car,evening,5
7,2,car,morning,0
19,1,bike,morning,0
12,1,bike,afternoon,0
19,3,bike,evening,0
45,3,car,afternoon,5
41,2,bike,evening,0
37,1,,morning,0
8,1,bike,afternoon,0
22,2,,morning,0
0,0,bike,mor,0
8,1,car,morning,0
16,3,,afternoon,0
35,4,bike,morning,0
25,3,car,afternoon,0
48,5,car,afternoon,9
17,2,car,morning,0
10,1,bike,evening,0
17,2,car,afternoon,0
10,2,bike,evening,0
129,5,car,evening,10
11,2,car,morning,0
278,6,bike,evening,20
53,3,bike,,2
67,4,bike,morning,3
86,5,bike,evening,4
36,2,car,afternoon,4
90,6,car,,5
165,7,bike,morning,5
83,4,bike,evening,5
100,2,car,evening,5
135,5,car,evening,5
55,3,,evening,5
94,5,car,evening,6
93,1,car,evening,7
112,4,car,morning,8
90,7,car,evening,10
120,5,car,evening,15
150,8,car,afternoon,20
